npsn,nama_sekolah,nilai_total,provinsi,kota/kab,jenis_sekolah
10208520,"SMAN 2 BALIGE ,More..","565,102",Prov. Sumatera Utara,Kab. Toba,SMA
20328912,"SMA SEMESTA ,More..","565,046",Prov. Jawa Tengah,Kota Semarang,SMA
20220342,"SMAN 1 BOGOR ,More..","564,843",Prov. Jawa Barat,Kota Bogor,SMA
69941607,"MAN Insan Cendekia Oki ,More..","590,113",Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,MA
10310903,"SMAN 1 SUMATERA BARAT ,More..","589,803",Prov. Sumatera Barat,Kota Padang Panjang,SMA
20533654,"SMAS K KOLESE ST YUSUP ,More..","589,501",Prov. Jawa Timur,Kota Malang,SMA
20403162,"SMAN 9 YOGYAKARTA ,More..","589,077",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
20402794,"SMA NEGERI 1 WATES ,More..","588,705",Prov. D.I. Yogyakarta,Kab. Kulon Progo,SMA
20219327,"SMAN 3 BANDUNG ,More..","588,599",Prov. Jawa Barat,Kota Bandung,SMA
20103256,"SMAN 99 JAKARTA ,More..","588,156",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
20312200,"SMAN 1 KARANGANYAR ,More..","564,797",Prov. Jawa Tengah,Kab. Karanganyar,SMA
20254358,"SMAS GLOBAL MANDIRI ,More..","564,775",Prov. Jawa Barat,Kab. Bogor,SMA
20103257,"SMAN 98 JAKARTA ,More..","564,658",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
20339021,"SMA NEGERI 1 PATI ,More..","564,590",Prov. Jawa Tengah,Kab. Pati,SMA
10609651,"SMA KUSUMA BANGSA PALEMBANG ,More..","564,573",Prov. Sumatera Selatan,Kota Palembang,SMA
20302182,"SMAN 1 PURWOKERTO ,More..","564,470",Prov. Jawa Tengah,Kab. Banyumas,SMA
69765089,"SMAS ISLAM ATHIRAH ,More..","564,461",Prov. Sulawesi Selatan,Kab. Bone,SMA
69986890,"SMA UNGGULAN CT ARSA FOUNDATION SUKOHARJO ,More..","587,175",Prov. Jawa Tengah,Kab. Sukoharjo,SMA
20607991,"SMA ISLAM NURUL FIKRI ,More..","587,021",Prov. Banten,Kab. Serang,SMA
10603858,"SMA NEGERI 17 PALEMBANG ,More..","586,583",Prov. Sumatera Selatan,Kota Palembang,SMA
20102570,"SMAN 70 JAKARTA ,More..","586,564",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
20103284,"SMAN 14 JAKARTA ,More..","585,691",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
20107299,"SMAS GONZAGA JAKARTA ,More..","585,558",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
20327970,"SMAN 5 SURAKARTA ,More..","564,420",Prov. Jawa Tengah,Kota Surakarta,SMA
20102216,"SMAN 3 JAKARTA ,More..","564,401",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
20231283,"SMAS BUNDA HATI KUDUS ,More..","563,955",Prov. Jawa Barat,Kab. Bogor,SMA
20517739,"SMAN 1 LAWANG ,More..","563,624",Prov. Jawa Timur,Kab. Malang,SMA
20102219,"SMAN 109 JAKARTA ,More..","563,560",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
